student_id,level_id,score,time_spent_minutes,passed,timestamp
STU_0001,LVL_008,39,7,False,2023-02-27
STU_0001,LVL_002,90,18,True,2023-02-28
STU_0001,LVL_048,58,8,False,2023-03-01
STU_0001,LVL_018,84,38,True,2023-03-02
STU_0001,LVL_016,59,21,False,2023-03-03
STU_0001,LVL_015,86,28,True,2023-03-04
STU_0001,LVL_009,41,6,False,2023-03-05
STU_0001,LVL_007,60,5,False,2023-03-06
STU_0001,LVL_035,77,15,True,2023-03-07
STU_0001,LVL_006,36,11,False,2023-03-08
STU_0001,LVL_038,41,3,False,2023-03-09
STU_0001,LVL_028,42,10,False,2023-03-10
STU_0001,LVL_003,73,19,True,2023-03-11
STU_0001,LVL_049,61,21,False,2023-03-12
STU_0001,LVL_041,63,21,False,2023-03-13
STU_0001,LVL_014,59,31,False,2023-03-14
STU_0001,LVL_045,53,24,False,2023-03-15
STU_0001,LVL_033,66,25,False,2023-03-16
STU_0001,LVL_037,83,11,True,2023-03-17
STU_0001,LVL_047,55,13,False,2023-03-18
STU_0001,LVL_043,61,11,False,2023-03-19
STU_0001,LVL_023,30,38,False,2023-03-20
STU_0001,LVL_021,50,7,False,2023-03-21
STU_0001,LVL_029,51,1,False,2023-03-22
STU_0001,LVL_031,64,10,False,2023-03-23
STU_0002,LVL_021,92,23,True,2023-02-10
STU_0002,LVL_026,100,2,True,2023-02-11
STU_0002,LVL_018,93,16,True,2023-02-12
STU_0002,LVL_005,87,1,True,2023-02-13
STU_0002,LVL_014,87,1,True,2023-02-14
STU_0002,LVL_037,75,7,True,2023-02-15
STU_0003,LVL_033,36,38,False,2023-02-19
STU_0003,LVL_032,33,10,False,2023-02-20
STU_0003,LVL_006,74,14,True,2023-02-21
STU_0003,LVL_004,68,1,False,2023-02-22
STU_0003,LVL_008,61,13,False,2023-02-23
STU_0003,LVL_010,68,11,False,2023-02-24
STU_0003,LVL_041,57,19,False,2023-02-25
STU_0003,LVL_011,100,9,True,2023-02-26
STU_0003,LVL_028,71,27,True,2023-02-27
STU_0004,LVL_033,100,7,True,2023-03-11
STU_0004,LVL_007,99,6,True,2023-03-12
STU_0004,LVL_041,74,13,True,2023-03-13
STU_0004,LVL_020,53,35,False,2023-03-14
STU_0004,LVL_048,85,6,True,2023-03-15
STU_0004,LVL_050,83,26,True,2023-03-16
STU_0004,LVL_039,100,21,True,2023-03-17
STU_0004,LVL_013,98,1,True,2023-03-18
STU_0004,LVL_010,74,12,True,2023-03-19
STU_0004,LVL_024,62,1,False,2023-03-20
STU_0005,LVL_017,53,19,False,2023-03-08
STU_0005,LVL_034,66,17,False,2023-03-09
STU_0005,LVL_039,45,12,False,2023-03-10
STU_0005,LVL_028,87,17,True,2023-03-11
STU_0005,LVL_014,69,18,False,2023-03-12
STU_0005,LVL_035,77,18,True,2023-03-13
STU_0005,LVL_013,52,16,False,2023-03-14
STU_0005,LVL_020,45,18,False,2023-03-15
STU_0005,LVL_026,58,1,False,2023-03-16
STU_0005,LVL_024,54,13,False,2023-03-17
STU_0006,LVL_027,71,27,True,2023-02-24
STU_0006,LVL_013,68,14,False,2023-02-25
STU_0006,LVL_007,75,1,True,2023-02-26
STU_0006,LVL_048,82,25,True,2023-02-27
STU_0006,LVL_043,62,16,False,2023-02-28
STU_0006,LVL_028,85,26,True,2023-03-01
STU_0006,LVL_023,65,27,False,2023-03-02
STU_0006,LVL_045,34,19,False,2023-03-03
STU_0006,LVL_050,72,13,True,2023-03-04
STU_0006,LVL_030,79,17,True,2023-03-05
STU_0006,LVL_004,88,9,True,2023-03-06
STU_0006,LVL_047,59,32,False,2023-03-07
STU_0006,LVL_040,61,1,False,2023-03-08
STU_0006,LVL_026,55,7,False,2023-03-09
STU_0006,LVL_022,68,23,False,2023-03-10
STU_0006,LVL_039,87,22,True,2023-03-11
STU_0006,LVL_016,76,20,True,2023-03-12
STU_0006,LVL_049,80,20,True,2023-03-13
STU_0006,LVL_033,80,11,True,2023-03-14
STU_0006,LVL_018,81,21,True,2023-03-15
STU_0007,LVL_005,91,22,True,2023-03-21
STU_0007,LVL_039,60,11,False,2023-03-22
STU_0007,LVL_050,71,30,True,2023-03-23
STU_0007,LVL_044,68,22,False,2023-03-24
STU_0007,LVL_016,87,26,True,2023-03-25
STU_0007,LVL_026,39,21,False,2023-03-26
STU_0007,LVL_008,74,14,True,2023-03-27
STU_0007,LVL_037,58,6,False,2023-03-28
