student_id,job_id,month,good_match
S3_00067,J3_00016,2026-04,0
S3_00151,J3_00000,2026-04,0
S3_00098,J3_00030,2026-04,0
S3_00076,J3_00018,2026-04,0
S3_00179,J3_00019,2026-04,0
S3_00118,J3_00031,2026-04,0
S3_00083,J3_00010,2026-04,0
S3_00104,J3_00004,2026-04,0
S3_00114,J3_00012,2026-04,1
S3_00185,J3_00010,2026-04,1
S3_00049,J3_00022,2026-04,0
S3_00168,J3_00031,2026-04,0
S3_00051,J3_00018,2026-04,0
S3_00165,J3_00041,2026-04,0
S3_00014,J3_00019,2026-04,1
S3_00131,J3_00019,2026-04,0
S3_00164,J3_00031,2026-04,0
S3_00189,J3_00020,2026-04,0
S3_00146,J3_00013,2026-04,1
S3_00112,J3_00021,2026-04,0
S3_00178,J3_00026,2026-04,0
S3_00024,J3_00038,2026-04,0
S3_00034,J3_00000,2026-04,0
S3_00121,J3_00019,2026-04,0
S3_00175,J3_00028,2026-04,0
S3_00195,J3_00001,2026-04,0
S3_00020,J3_00030,2026-04,0
S3_00141,J3_00005,2026-04,0
S3_00126,J3_00034,2026-04,0
S3_00180,J3_00037,2026-04,0
S3_00122,J3_00025,2026-04,0
S3_00003,J3_00006,2026-04,0
S3_00085,J3_00003,2026-04,1
S3_00090,J3_00039,2026-04,0
S3_00059,J3_00023,2026-04,0
S3_00116,J3_00015,2026-04,1
S3_00057,J3_00010,2026-04,0
S3_00092,J3_00018,2026-04,0
S3_00051,J3_00009,2026-04,1
S3_00076,J3_00042,2026-04,0
S3_00078,J3_00035,2026-04,0
S3_00100,J3_00025,2026-04,1
S3_00081,J3_00032,2026-04,0
S3_00183,J3_00037,2026-04,0
S3_00027,J3_00039,2026-04,0
S3_00167,J3_00007,2026-04,1
S3_00001,J3_00030,2026-04,0
S3_00113,J3_00039,2026-04,0
S3_00068,J3_00008,2026-04,0
S3_00170,J3_00032,2026-04,0
S3_00036,J3_00010,2026-04,0
S3_00026,J3_00005,2026-04,0
S3_00126,J3_00035,2026-04,1
S3_00180,J3_00018,2026-04,0
S3_00030,J3_00031,2026-04,0
S3_00184,J3_00012,2026-04,0
S3_00131,J3_00006,2026-04,1
S3_00135,J3_00037,2026-04,1
S3_00128,J3_00018,2026-04,0
S3_00057,J3_00034,2026-04,0
S3_00095,J3_00001,2026-04,0
S3_00160,J3_00019,2026-04,1
S3_00064,J3_00000,2026-04,0
S3_00041,J3_00011,2026-04,0
S3_00077,J3_00001,2026-04,0
S3_00130,J3_00024,2026-04,0
S3_00069,J3_00004,2026-04,0
S3_00142,J3_00037,2026-04,1
S3_00005,J3_00019,2026-04,1
S3_00059,J3_00042,2026-04,0
S3_00124,J3_00029,2026-04,0
S3_00058,J3_00001,2026-04,0
S3_00028,J3_00022,2026-04,0
S3_00117,J3_00012,2026-04,1
S3_00149,J3_00036,2026-04,0
S3_00040,J3_00019,2026-04,0
S3_00170,J3_00002,2026-04,0
S3_00144,J3_00036,2026-04,0
S3_00092,J3_00032,2026-04,0
S3_00089,J3_00001,2026-04,0
S3_00069,J3_00035,2026-04,0
S3_00173,J3_00038,2026-04,0
S3_00122,J3_00016,2026-04,0
S3_00050,J3_00002,2026-04,0
S3_00076,J3_00034,2026-04,0
S3_00023,J3_00015,2026-04,0
S3_00070,J3_00023,2026-04,1
S3_00133,J3_00031,2026-04,0
S3_00113,J3_00023,2026-04,0
S3_00108,J3_00005,2026-04,0
S3_00002,J3_00024,2026-04,1
S3_00151,J3_00029,2026-04,0
S3_00152,J3_00006,2026-04,1
S3_00046,J3_00026,2026-04,0
S3_00021,J3_00032,2026-04,0
S3_00108,J3_00022,2026-04,0
S3_00028,J3_00006,2026-04,0
S3_00191,J3_00011,2026-04,0
S3_00042,J3_00041,2026-04,0
S3_00027,J3_00030,2026-04,0
S3_00198,J3_00038,2026-04,0
S3_00059,J3_00015,2026-04,0
S3_00011,J3_00002,2026-04,0
S3_00077,J3_00008,2026-04,0
S3_00032,J3_00032,2026-04,0
S3_00197,J3_00022,2026-04,0
S3_00032,J3_00037,2026-04,0
S3_00142,J3_00006,2026-04,1
S3_00008,J3_00027,2026-04,0
S3_00024,J3_00013,2026-04,1
S3_00064,J3_00011,2026-04,0
S3_00088,J3_00042,2026-04,0
S3_00197,J3_00022,2026-04,0
