student_id,job_id,month,good_match
S2_00096,J2_00001,2026-03,0
S2_00052,J2_00025,2026-03,0
S2_00040,J2_00022,2026-03,0
S2_00095,J2_00037,2026-03,0
S2_00139,J2_00020,2026-03,0
S2_00124,J2_00018,2026-03,0
S2_00141,J2_00033,2026-03,1
S2_00178,J2_00037,2026-03,0
S2_00007,J2_00012,2026-03,0
S2_00092,J2_00036,2026-03,1
S2_00141,J2_00029,2026-03,0
S2_00100,J2_00008,2026-03,1
S2_00148,J2_00018,2026-03,0
S2_00199,J2_00028,2026-03,1
S2_00092,J2_00013,2026-03,0
S2_00167,J2_00016,2026-03,0
S2_00077,J2_00000,2026-03,0
S2_00146,J2_00002,2026-03,0
S2_00148,J2_00036,2026-03,0
S2_00156,J2_00002,2026-03,0
S2_00084,J2_00004,2026-03,0
S2_00011,J2_00000,2026-03,0
S2_00093,J2_00019,2026-03,0
S2_00153,J2_00008,2026-03,1
S2_00017,J2_00017,2026-03,0
S2_00068,J2_00001,2026-03,0
S2_00159,J2_00008,2026-03,0
S2_00037,J2_00036,2026-03,0
S2_00060,J2_00028,2026-03,0
S2_00086,J2_00025,2026-03,1
S2_00042,J2_00012,2026-03,0
S2_00084,J2_00039,2026-03,0
S2_00178,J2_00036,2026-03,0
S2_00120,J2_00011,2026-03,0
S2_00007,J2_00031,2026-03,1
S2_00098,J2_00011,2026-03,0
S2_00090,J2_00038,2026-03,1
S2_00154,J2_00013,2026-03,0
S2_00083,J2_00030,2026-03,1
S2_00017,J2_00011,2026-03,1
S2_00093,J2_00030,2026-03,0
S2_00186,J2_00001,2026-03,0
S2_00195,J2_00000,2026-03,0
S2_00120,J2_00042,2026-03,0
S2_00146,J2_00000,2026-03,0
S2_00118,J2_00026,2026-03,1
S2_00005,J2_00030,2026-03,1
S2_00050,J2_00025,2026-03,0
S2_00137,J2_00029,2026-03,0
S2_00133,J2_00023,2026-03,0
S2_00104,J2_00026,2026-03,1
S2_00151,J2_00003,2026-03,0
S2_00006,J2_00022,2026-03,0
S2_00141,J2_00006,2026-03,0
S2_00127,J2_00040,2026-03,0
S2_00085,J2_00028,2026-03,0
S2_00012,J2_00014,2026-03,0
S2_00109,J2_00017,2026-03,1
S2_00168,J2_00005,2026-03,0
S2_00115,J2_00024,2026-03,0
S2_00105,J2_00015,2026-03,0
S2_00040,J2_00024,2026-03,0
S2_00098,J2_00033,2026-03,1
S2_00111,J2_00036,2026-03,0
S2_00077,J2_00015,2026-03,0
S2_00173,J2_00012,2026-03,0
S2_00186,J2_00038,2026-03,0
S2_00054,J2_00022,2026-03,1
S2_00044,J2_00022,2026-03,0
