student_id,college_id,college_tier,region,job_id,match_score,ai_trust_score,skill_score,verified_skill_count,years_exposure,match_score_biased,recommended,production_recommended
S0000,Tier3_Nashik,3,urban,J000,0.5218,0.612,3.56,6,2.2,0.3832,0,0
S0000,Tier3_Nashik,3,urban,J001,0.7101,0.612,3.56,6,2.2,0.569,1,0
S0000,Tier3_Nashik,3,urban,J002,0.6327,0.612,3.56,6,2.2,0.4763,1,0
S0000,Tier3_Nashik,3,urban,J003,0.5711,0.612,3.56,6,2.2,0.3707,0,0
S0000,Tier3_Nashik,3,urban,J004,0.3849,0.612,3.56,6,2.2,0.2245,0,0
S0000,Tier3_Nashik,3,urban,J005,0.5545,0.612,3.56,6,2.2,0.3811,0,0
S0000,Tier3_Nashik,3,urban,J006,0.5899,0.612,3.56,6,2.2,0.4001,0,0
S0000,Tier3_Nashik,3,urban,J007,0.3026,0.612,3.56,6,2.2,0.1012,0,0
S0000,Tier3_Nashik,3,urban,J008,0.4946,0.612,3.56,6,2.2,0.3356,0,0
S0000,Tier3_Nashik,3,urban,J009,0.3648,0.612,3.56,6,2.2,0.1685,0,0
S0000,Tier3_Nashik,3,urban,J010,0.4163,0.612,3.56,6,2.2,0.2591,0,0
S0000,Tier3_Nashik,3,urban,J011,0.7177,0.612,3.56,6,2.2,0.529,1,0
S0000,Tier3_Nashik,3,urban,J012,0.5676,0.612,3.56,6,2.2,0.3959,0,0
S0000,Tier3_Nashik,3,urban,J013,0.5363,0.612,3.56,6,2.2,0.3228,0,0
S0000,Tier3_Nashik,3,urban,J014,0.2905,0.612,3.56,6,2.2,0.0721,0,0
S0000,Tier3_Nashik,3,urban,J015,0.5131,0.612,3.56,6,2.2,0.313,0,0
S0000,Tier3_Nashik,3,urban,J016,0.7919,0.612,3.56,6,2.2,0.5793,1,0
S0000,Tier3_Nashik,3,urban,J017,0.5534,0.612,3.56,6,2.2,0.4094,0,0
S0000,Tier3_Nashik,3,urban,J018,0.6958,0.612,3.56,6,2.2,0.5062,1,0
S0000,Tier3_Nashik,3,urban,J019,0.3597,0.612,3.56,6,2.2,0.2102,0,0
S0000,Tier3_Nashik,3,urban,J020,0.5096,0.612,3.56,6,2.2,0.3532,0,0
S0000,Tier3_Nashik,3,urban,J021,0.4541,0.612,3.56,6,2.2,0.2761,0,0
S0000,Tier3_Nashik,3,urban,J022,0.4431,0.612,3.56,6,2.2,0.2458,0,0
S0000,Tier3_Nashik,3,urban,J023,0.441,0.612,3.56,6,2.2,0.2455,0,0
S0000,Tier3_Nashik,3,urban,J024,0.5066,0.612,3.56,6,2.2,0.2981,0,0
S0000,Tier3_Nashik,3,urban,J025,0.4726,0.612,3.56,6,2.2,0.2914,0,0
S0000,Tier3_Nashik,3,urban,J026,0.2837,0.612,3.56,6,2.2,0.0702,0,0
S0000,Tier3_Nashik,3,urban,J027,0.4365,0.612,3.56,6,2.2,0.2264,0,0
S0000,Tier3_Nashik,3,urban,J028,0.7037,0.612,3.56,6,2.2,0.497,1,0
S0000,Tier3_Nashik,3,urban,J029,0.5454,0.612,3.56,6,2.2,0.3932,0,0
S0001,Tier2_Pune,2,rural,J000,0.5807,0.521,3.98,3,0.8,0.4994,0,0
S0001,Tier2_Pune,2,rural,J001,0.7306,0.521,3.98,3,0.8,0.6412,1,1
S0001,Tier2_Pune,2,rural,J002,0.7219,0.521,3.98,3,0.8,0.6229,1,1
S0001,Tier2_Pune,2,rural,J003,0.5035,0.521,3.98,3,0.8,0.443,0,0
S0001,Tier2_Pune,2,rural,J004,0.4752,0.521,3.98,3,0.8,0.4021,0,0
S0001,Tier2_Pune,2,rural,J005,0.7013,0.521,3.98,3,0.8,0.6276,1,1
S0001,Tier2_Pune,2,rural,J006,0.5767,0.521,3.98,3,0.8,0.5052,0,0
S0001,Tier2_Pune,2,rural,J007,0.4483,0.521,3.98,3,0.8,0.3556,0,0
S0001,Tier2_Pune,2,rural,J008,0.6619,0.521,3.98,3,0.8,0.6001,1,0
S0001,Tier2_Pune,2,rural,J009,0.4728,0.521,3.98,3,0.8,0.3984,0,0
S0001,Tier2_Pune,2,rural,J010,0.4857,0.521,3.98,3,0.8,0.3972,0,0
S0001,Tier2_Pune,2,rural,J011,0.7461,0.521,3.98,3,0.8,0.6698,1,1
S0001,Tier2_Pune,2,rural,J012,0.6356,0.521,3.98,3,0.8,0.5698,1,0
S0001,Tier2_Pune,2,rural,J013,0.5712,0.521,3.98,3,0.8,0.4868,0,0
S0001,Tier2_Pune,2,rural,J014,0.3519,0.521,3.98,3,0.8,0.271,0,0
S0001,Tier2_Pune,2,rural,J015,0.69,0.521,3.98,3,0.8,0.5907,1,0
S0001,Tier2_Pune,2,rural,J016,0.8658,0.521,3.98,3,0.8,0.7759,1,1
S0001,Tier2_Pune,2,rural,J017,0.6107,0.521,3.98,3,0.8,0.5113,0,0
S0001,Tier2_Pune,2,rural,J018,0.6492,0.521,3.98,3,0.8,0.5817,1,0
S0001,Tier2_Pune,2,rural,J019,0.4505,0.521,3.98,3,0.8,0.36,0,0
S0001,Tier2_Pune,2,rural,J020,0.7167,0.521,3.98,3,0.8,0.6346,1,1
S0001,Tier2_Pune,2,rural,J021,0.5051,0.521,3.98,3,0.8,0.4166,0,0
S0001,Tier2_Pune,2,rural,J022,0.3612,0.521,3.98,3,0.8,0.2825,0,0
S0001,Tier2_Pune,2,rural,J023,0.6302,0.521,3.98,3,0.8,0.5617,1,0
S0001,Tier2_Pune,2,rural,J024,0.5871,0.521,3.98,3,0.8,0.5253,0,0
S0001,Tier2_Pune,2,rural,J025,0.5696,0.521,3.98,3,0.8,0.4761,0,0
S0001,Tier2_Pune,2,rural,J026,0.4922,0.521,3.98,3,0.8,0.3996,0,0
S0001,Tier2_Pune,2,rural,J027,0.4833,0.521,3.98,3,0.8,0.4168,0,0
S0001,Tier2_Pune,2,rural,J028,0.8566,0.521,3.98,3,0.8,0.7708,1,1
S0001,Tier2_Pune,2,rural,J029,0.6393,0.521,3.98,3,0.8,0.5498,1,0
S0002,Tier3_Aurangabad,3,semi_urban,J000,0.4753,0.736,2.83,7,3.7,0.2942,0,0
S0002,Tier3_Aurangabad,3,semi_urban,J001,0.518,0.736,2.83,7,3.7,0.3581,0,0
S0002,Tier3_Aurangabad,3,semi_urban,J002,0.4084,0.736,2.83,7,3.7,0.1989,0,0
S0002,Tier3_Aurangabad,3,semi_urban,J003,0.4377,0.736,2.83,7,3.7,0.2492,0,0
