student_id,job_id,outcome
fresh_college_A_0,job_67,0
fresh_college_A_0,job_35,0
fresh_college_A_0,job_12,0
fresh_college_A_0,job_27,1
fresh_college_A_0,job_29,1
fresh_college_A_0,job_0,0
fresh_college_A_0,job_58,1
fresh_college_A_0,job_42,1
fresh_college_A_0,job_69,1
fresh_college_A_0,job_85,1
fresh_college_A_0,job_3,0
fresh_college_A_0,job_45,1
fresh_college_A_0,job_20,0
fresh_college_A_0,job_71,0
fresh_college_A_1,job_38,0
fresh_college_A_1,job_98,0
fresh_college_A_1,job_40,0
fresh_college_A_1,job_74,1
fresh_college_A_1,job_69,1
fresh_college_A_1,job_25,0
fresh_college_A_1,job_71,1
fresh_college_A_1,job_7,1
fresh_college_A_2,job_80,1
fresh_college_A_2,job_31,1
fresh_college_A_2,job_60,0
fresh_college_A_2,job_28,0
fresh_college_A_2,job_65,1
fresh_college_A_2,job_19,1
fresh_college_A_2,job_51,0
fresh_college_A_3,job_49,1
fresh_college_A_3,job_42,1
fresh_college_A_3,job_70,0
fresh_college_A_3,job_33,1
fresh_college_A_3,job_5,1
fresh_college_A_3,job_75,0
fresh_college_A_3,job_84,0
fresh_college_A_4,job_45,1
fresh_college_A_4,job_44,0
fresh_college_A_5,job_73,1
fresh_college_A_5,job_51,0
fresh_college_A_5,job_42,0
fresh_college_A_5,job_12,0
fresh_college_A_5,job_63,1
fresh_college_A_6,job_70,1
fresh_college_A_6,job_65,1
fresh_college_A_6,job_29,0
fresh_college_A_6,job_60,0
fresh_college_A_6,job_44,0
fresh_college_A_7,job_66,1
fresh_college_A_7,job_3,0
fresh_college_A_7,job_59,1
fresh_college_A_7,job_30,1
fresh_college_A_7,job_26,1
fresh_college_A_7,job_54,0
fresh_college_A_7,job_34,0
fresh_college_A_7,job_91,0
fresh_college_A_8,job_46,0
fresh_college_A_8,job_90,1
fresh_college_A_8,job_61,0
fresh_college_A_8,job_27,0
fresh_college_A_9,job_9,1
fresh_college_A_9,job_77,0
fresh_college_A_9,job_15,0
fresh_college_A_9,job_93,1
fresh_college_A_9,job_42,0
fresh_college_A_9,job_91,1
fresh_college_A_9,job_19,1
fresh_college_A_10,job_21,1
fresh_college_A_10,job_72,1
fresh_college_A_10,job_75,1
fresh_college_A_10,job_9,1
fresh_college_A_10,job_70,0
fresh_college_A_10,job_51,1
fresh_college_A_10,job_14,0
fresh_college_A_11,job_66,0
fresh_college_A_11,job_99,1
fresh_college_A_11,job_31,1
fresh_college_A_11,job_60,0
fresh_college_A_11,job_19,1
fresh_college_A_11,job_22,0
fresh_college_A_12,job_77,1
fresh_college_A_12,job_37,1
fresh_college_A_12,job_81,1
fresh_college_A_12,job_80,0
fresh_college_A_12,job_12,0
fresh_college_A_12,job_41,1
fresh_college_A_12,job_35,1
fresh_college_A_13,job_67,0
fresh_college_A_13,job_1,1
fresh_college_A_13,job_53,1
fresh_college_A_13,job_46,1
fresh_college_A_13,job_31,1
fresh_college_A_13,job_71,1
fresh_college_A_13,job_74,0
fresh_college_A_13,job_48,0
fresh_college_A_13,job_45,0
fresh_college_A_13,job_95,1
fresh_college_A_14,job_52,0
fresh_college_A_14,job_23,1
fresh_college_A_14,job_54,0
fresh_college_A_14,job_8,0
fresh_college_A_14,job_67,1
fresh_college_A_14,job_31,0
fresh_college_A_15,job_77,1
fresh_college_A_15,job_2,1
fresh_college_A_15,job_90,1
fresh_college_A_15,job_6,0
fresh_college_A_15,job_14,1
fresh_college_A_15,job_98,0
fresh_college_A_15,job_55,1
fresh_college_A_15,job_33,0
fresh_college_A_15,job_49,0
fresh_college_A_16,job_24,1
