job_id,job_seniority,job_comp_level
0,12,0.9660587909822879
1,11,-0.0479663721235696
2,6,-0.07493043772486035
3,11,0.054775871941011876
4,9,0.4901838502241944
5,4,0.036689556282928526
6,11,-1.0538323293114724
7,13,0.868282896474312
8,1,-0.760652247193441
9,2,0.8395948376081587
10,8,-0.3805552196053818
11,7,-1.1866842990005686
12,9,0.3759916785616394
13,2,0.6078630715919537
14,2,-1.8918368966161692
15,1,0.3886741708287205
16,0,-0.30666189102610114
17,9,-0.46739705490450423
18,4,1.389955161743872
19,11,-2.114136832339882
20,2,-1.045412412635484
21,2,-0.4553887307884692
22,9,-1.1128353320990596
23,8,-0.8048803324711116
24,9,-0.11872801538944486
25,6,-0.35313177260667983
26,11,0.1722973156332389
27,10,-1.8984225205140988
28,9,-1.0259538001818826
29,7,-0.22973094816457013
30,10,-1.2846409678617903
31,7,0.24825086673071484
32,5,0.5664798758990314
33,3,0.8159019895017934
34,12,0.26042349869809717
35,5,-2.2048417442657158
36,4,0.40241465546316946
37,5,-1.0622959794385183
38,9,-0.40216532941749844
39,1,0.23148403419282595
40,8,-0.40046301393944217
41,1,1.2021154188997516
42,5,-1.970162334669035
43,11,-0.8827947935961814
44,3,1.0572779941856605
45,12,-1.2684817391747636
46,8,-1.0651442459123521
47,1,-0.03678344994308381
48,14,1.8178044597441148
49,7,0.08194798723911578
50,6,0.6710635710820133
51,12,-0.7995264798768494
52,4,-0.7670782286542074
53,12,1.469601104286408
54,13,0.6949580620211155
55,13,1.5282526638460845
56,10,-0.259533255188154
57,7,-0.4175243201912557
58,5,-0.5247213998552891
59,8,1.7077462677825683
60,6,-0.4387893862297032
61,0,-0.2197022010662719
62,8,1.243696677197339
63,10,1.6616910899529298
64,11,0.23491649352171048
65,12,-0.09637067505039695
66,11,-0.7995753527105873
67,12,-0.06769314249232412
68,11,-1.146640057559744
69,4,0.6144207527372406
70,0,-1.6310181467466924
71,1,-0.750959856208773
72,4,0.7146746271515992
73,10,-0.3636981151259927
74,4,0.012459595747880525
75,13,1.769827451120269
76,10,-0.1492460181858711
77,7,0.23778124308225618
78,3,0.8755399458922847
79,3,-0.1790032761900727
80,1,0.9568094947634644
81,6,1.5263180484102963
82,1,0.8424142106280398
83,8,0.6244801400214677
84,5,-0.0035933852480327243
85,0,1.1211379724520003
86,2,0.6127228031166725
87,6,0.3619839164254979
88,7,1.1618280905841754
89,12,-0.9693208383499737
90,13,1.3508586614348375
91,14,1.8118778157577697
92,14,-0.2631294714982562
93,9,-0.7673610550118658
94,9,0.10980497635628528
95,0,0.08377318627912
96,13,-1.4226991403103793
97,4,0.5242850429062379
98,0,-2.294961533817436
99,14,0.005403081042736103
100,3,1.155665689777979
101,6,-1.3248972067250702
102,3,-0.7171344219967419
103,11,0.591226246722915
104,5,0.24388295764826556
105,12,-0.34065723398523395
106,3,-0.8377534319707416
107,7,0.1226569623746795
108,13,-0.3402842096627109
109,5,-1.1685272118780141
110,8,-0.8226421641495102
111,4,0.30946816970696345
112,3,-0.9119624560721075
113,4,-1.971898517939838
114,5,0.2490738652774208
115,2,0.9190527111942098
116,4,2.806854248195039
117,3,-0.7447713252147918
118,10,0.5475053966164938
119,5,0.05249574124244498
120,5,2.101964318478827
121,10,-1.7954552448331125
122,12,2.0302546215700623
123,13,2.1299812140481413
124,0,0.2587406771187981
125,3,-1.1619313492789367
126,7,1.0371712389785723
127,11,0.2790937243866138
128,12,0.12825672178390116
129,2,-0.20974786268698412
130,6,1.7835889920603971
131,13,-0.8755625777005117
132,8,0.4746765336912289
133,2,0.8250297872547994
134,10,-1.1153743502128144
135,1,-0.5324320300354562
136,6,-1.2844628486494802
137,6,-1.1552480106918903
138,13,-0.19519764715693566
139,5,0.005250413151141766
140,7,1.9571534621172741
141,3,0.44873645611687446
142,12,0.6829084560372205
143,6,-0.12170996752296205
144,11,-0.5809621713613394
145,1,2.1924809592115624
146,0,-0.18929306546555894
147,7,0.07783808262751304
148,9,0.15724616803773067
149,6,-1.5432212002952308
150,5,-0.17680285573060528
151,11,-1.5290942414301956
152,1,0.5854606577987497
153,9,0.5578206516970329
154,9,0.2642192536833964
155,3,-0.7721342052332694
156,11,1.5352844017615104
157,1,0.05269190650417575
158,6,1.335125399329757
159,7,0.9828989855157966
160,8,-2.087327436534787
161,12,0.02714415109204183
162,1,-2.176370503667526
163,4,0.4402665824538458
164,14,0.5517034907365537
165,5,-0.6290441259050356
166,7,0.04366199569637617
167,8,-0.7641231090888853
168,3,-1.4463873733121948
169,10,1.3681478291848217
170,12,0.07641724565185971
171,2,0.6469266067685002
172,6,1.1245663784979731
173,11,-1.9495273375586992
174,9,0.6797827939141837
175,5,0.5785359882819657
176,14,0.2992415301392827
177,14,-0.6017739681741501
178,11,0.6623591850043075
179,7,1.1187781933529881
180,3,0.8273530804638847
181,1,-0.7612632569154476
182,12,-0.4517522112393399
183,11,-1.8727000507874507
184,3,-0.7072632213049441
185,3,-0.13723533656266346
186,3,-0.688502226140541
187,6,-1.5912002815415285
188,4,-0.9992871525883633
189,9,-0.031162758417700775
190,11,0.023609173072386358
191,3,-0.5984587968155268
192,2,1.6227887627620396
193,9,-0.7940147939695502
194,8,-0.9642633100684986
195,13,0.662383644937466
196,5,-0.49182480039498744
197,7,2.1736454278185384
198,2,0.8088126013414569
199,10,-0.44057262959899374
200,11,-0.9861543189929184
201,13,0.8054588658322989
202,1,0.8118135221962155
203,7,-0.07384519292731162
204,10,0.8078354840952383
205,8,0.9923259829377546
206,5,-1.482834057522716
207,6,-0.16878016412399613
208,7,0.44985826874264007
209,4,0.8645004386140491
210,14,0.22657122325581133
211,4,0.6324102278468617
212,2,-2.108979023285913
213,6,1.4876041710903365
214,14,1.0235152013707183
215,10,0.02171967283548378
216,5,0.13740321633930205
217,14,0.7271874634438238
218,10,-1.1201611799289728
219,13,0.34086619704214205
220,1,0.6601731007898
221,4,-0.16394621186584313
222,7,0.73968489098986
223,8,-0.5598563988809118
224,1,0.8451871121256822
225,8,-0.2931005200595179
226,3,-0.20999467613852846
227,8,-1.5472006033800028
228,3,1.1134558472665252
229,2,-0.4982972586142767
230,9,0.3584181995232502
231,10,-0.8394704492944645
232,12,-0.9365610833288549
233,11,-0.03806149464632322
234,5,-0.4997194720984907
235,2,0.5447180061890025
236,6,0.11874056595735596
237,5,0.7502883858434026
238,4,0.8080826204177707
239,3,1.2171621134401664
240,4,0.6503196855739495
241,11,1.5242479695944005
242,4,-0.7230255127864578
243,6,-0.7029805878526854
244,4,-1.256093199100021
245,10,0.5692776723258963
246,2,0.4640516824783875
247,1,-0.13007471083394972
248,5,0.8827137608979102
249,12,-0.5350144170407346
250,13,1.9197199217859842
251,0,0.06293159362950683
252,11,0.19410978600540166
253,1,1.222891339083032
254,12,-0.5185140528452004
255,1,-0.33809521075179416
256,14,0.5003192943104879
257,5,0.2525719042028337
258,12,-2.5230110219797686
259,4,-1.3831069137652194
260,10,-1.39535884898106
261,11,0.9909324847910682
262,12,-0.20047255492749133
263,14,0.18567589467553638
264,14,0.9064987800710876
265,12,-0.1669336033414513
266,14,1.5962041344347628
267,9,-0.08416057352458792
268,3,-0.6180880675095729
269,14,1.2955362066873024
270,10,1.0224117325304414
271,6,-0.2662653797459779
272,6,-0.803461391542919
273,4,0.34457194004659303
274,9,1.4477110484484539
275,5,-1.0719641376972444
276,13,-2.4874179751906724
277,5,0.27218089320378797
278,13,0.7961199627495618
279,9,-0.2586839568504379
280,8,0.18878044742436503
281,10,1.8830974225598318
282,4,0.5122417581247657
283,10,1.639160015044698
284,12,-0.8262973808594033
285,14,-1.6848779235371936
286,14,0.029125102172164956
287,3,0.3868251684966198
288,6,1.0061807010448143
289,14,0.8173101803050393
290,4,-0.467566976441284
291,3,0.8847999897605329
292,0,-0.7563860202710602
293,9,2.075354335595382
294,5,-0.11581701333426571
295,13,-0.5132832083728852
296,4,-0.09418012269389842
297,1,0.3661758713136205
298,12,0.8804548702809574
299,11,-0.5487563848645305
