candidate_id,job_id,day,skill_score,exp_years,group,job_seniority,job_comp_level,relevance,shortlisted,clicked,applied,query_id
1054,41,12,-0.6131292585484133,12,B,1,1.2021154188997516,2,0,1,1,1054
1815,134,15,0.46179511409626595,4,B,10,-1.1153743502128144,0,0,0,0,1815
704,294,12,0.3393067424232017,7,B,5,-0.11581701333426571,1,0,1,0,704
1832,21,27,1.7375053688429076,4,A,2,-0.4553887307884692,1,0,1,0,1832
2146,243,16,0.6516929385903841,4,B,6,-0.7029805878526854,2,0,1,1,2146
3886,115,11,0.031835737474260876,3,A,2,0.9190527111942098,2,0,1,1,3886
2811,99,21,-2.4853226039921057,5,A,14,0.005403081042736103,0,0,0,0,2811
805,258,12,-1.0081243182362576,10,B,12,-2.5230110219797686,0,0,0,0,805
510,175,25,1.025916721254949,1,A,5,0.5785359882819657,2,0,1,1,510
1247,189,21,1.363943556533319,0,B,9,-0.031162758417700775,2,0,1,1,1247
655,95,1,1.2583178745794648,14,B,0,0.08377318627912,1,0,1,0,655
65,13,29,0.49902375919967346,4,B,2,0.6078630715919537,3,1,1,1,65
2065,255,0,1.4710083293893843,12,A,1,-0.33809521075179416,2,0,1,1,2065
160,163,10,-0.5126004004939266,8,A,4,0.4402665824538458,1,0,1,0,160
1606,154,1,0.03940736170970004,2,A,9,0.2642192536833964,0,0,0,0,1606
2464,107,4,-1.1584716135585167,13,A,7,0.1226569623746795,0,0,0,0,2464
915,244,22,-0.4002166195455367,2,A,4,-1.256093199100021,0,0,0,0,915
3601,296,8,0.025313425398706114,14,A,4,-0.09418012269389842,2,0,1,1,3601
6,172,18,1.04333471223595,2,A,6,1.1245663784979731,0,0,0,0,6
2963,282,25,2.6352738343593045,2,A,4,0.5122417581247657,0,0,0,0,2963
57,162,14,-0.5220961113147181,6,A,1,-2.176370503667526,2,0,1,1,57
1952,160,2,1.1346805234257402,11,A,8,-2.087327436534787,3,1,1,1,1952
3949,211,29,1.5442526976674045,1,A,4,0.6324102278468617,1,0,1,0,3949
791,206,21,-0.6328367152769029,3,A,5,-1.482834057522716,0,0,0,0,791
1820,223,12,1.2612613678078965,6,B,8,-0.5598563988809118,2,0,1,1,1820
609,155,19,-0.26448006814383124,4,B,3,-0.7721342052332694,1,0,1,0,609
3229,107,21,0.4557504606478038,2,B,7,0.1226569623746795,1,0,1,0,3229
3805,284,10,0.763699796255723,9,A,12,-0.8262973808594033,1,0,1,0,3805
3624,263,12,-0.693153926701289,6,B,14,0.18567589467553638,0,0,0,0,3624
811,128,12,1.881614560318695,1,B,12,0.12825672178390116,0,0,0,0,811
50,70,5,1.6093174391556833,13,B,0,-1.6310181467466924,0,0,0,0,50
2485,150,14,0.9986301684954224,3,B,5,-0.17680285573060528,1,0,1,0,2485
2997,154,5,-0.9547671854352106,13,B,9,0.2642192536833964,0,0,0,0,2997
599,58,23,1.9763498729439495,6,A,5,-0.5247213998552891,1,0,1,0,599
3875,127,0,-0.24899057391789034,1,B,11,0.2790937243866138,0,0,0,0,3875
37,149,9,-0.5509024272675509,4,A,6,-1.5432212002952308,0,0,0,0,37
3987,294,29,-0.8043968053603555,4,B,5,-0.11581701333426571,1,0,1,0,3987
3700,153,25,-0.5570799375957141,1,B,9,0.5578206516970329,0,0,0,0,3700
853,252,7,1.6152167216316218,12,A,11,0.19410978600540166,2,0,1,1,853
2485,190,23,0.9986301684954224,1,B,11,0.023609173072386358,0,0,0,0,2485
2118,128,20,0.265078363701854,4,B,12,0.12825672178390116,0,0,0,0,2118
2301,52,15,-1.8995465907860154,1,B,4,-0.7670782286542074,0,0,0,0,2301
511,263,17,1.2512287620725577,4,A,14,0.18567589467553638,0,0,0,0,511
120,293,10,-0.4736552125360425,9,A,9,2.075354335595382,0,0,0,0,120
