student_id,job_id,was_shortlisted,was_hired
student_0,job_412,0,0
student_0,job_58,0,0
student_0,job_481,0,0
student_0,job_63,0,0
student_0,job_299,0,0
student_0,job_257,1,0
student_0,job_23,0,0
student_0,job_112,0,0
student_0,job_36,0,0
student_0,job_379,0,0
student_0,job_101,0,0
student_0,job_106,0,0
student_0,job_3,0,0
student_0,job_438,0,0
student_0,job_95,0,0
student_1,job_386,0,0
student_1,job_174,0,0
student_1,job_144,0,0
student_1,job_427,0,0
student_1,job_246,1,1
student_1,job_252,0,0
student_1,job_465,0,0
student_1,job_88,0,0
student_1,job_1,0,0
student_1,job_409,1,0
student_1,job_323,0,0
student_1,job_306,0,0
student_1,job_278,0,0
student_1,job_295,0,0
student_1,job_279,0,0
student_2,job_219,0,0
student_2,job_130,0,0
student_2,job_272,0,0
student_2,job_111,0,0
student_2,job_70,0,0
student_2,job_149,0,0
student_2,job_119,0,0
student_2,job_112,0,0
student_2,job_35,0,0
student_2,job_50,0,0
student_2,job_223,0,0
student_2,job_199,0,0
student_2,job_18,0,0
student_2,job_426,0,0
student_2,job_288,0,0
student_3,job_301,0,0
student_3,job_397,0,0
student_3,job_365,0,0
student_3,job_193,1,1
student_3,job_166,0,0
student_3,job_467,0,0
student_3,job_203,0,0
student_3,job_401,0,0
student_3,job_146,0,0
student_3,job_449,0,0
student_3,job_120,0,0
student_3,job_3,0,0
student_3,job_118,0,0
student_3,job_329,0,0
student_3,job_340,0,0
student_4,job_307,0,0
student_4,job_62,0,0
student_4,job_97,0,0
student_4,job_25,0,0
student_4,job_40,0,0
student_4,job_375,0,0
student_4,job_283,0,0
student_4,job_204,0,0
student_4,job_478,1,1
student_4,job_384,0,0
student_4,job_350,0,0
student_4,job_412,0,0
student_4,job_60,0,0
student_4,job_45,0,0
student_4,job_476,0,0
student_5,job_177,0,0
student_5,job_219,0,0
student_5,job_358,0,0
student_5,job_389,0,0
student_5,job_414,0,0
student_5,job_176,0,0
student_5,job_330,0,0
student_5,job_326,0,0
student_5,job_347,0,0
student_5,job_59,0,0
student_5,job_489,0,0
student_5,job_178,0,0
student_5,job_228,0,0
student_5,job_232,0,0
student_5,job_222,0,0
student_6,job_394,0,0
student_6,job_242,0,0
student_6,job_311,0,0
student_6,job_142,0,0
student_6,job_308,1,1
student_6,job_407,0,0
student_6,job_1,0,0
student_6,job_268,0,0
student_6,job_98,0,0
student_6,job_349,0,0
student_6,job_475,0,0
student_6,job_479,0,0
student_6,job_392,1,1
student_6,job_11,0,0
student_6,job_175,0,0
student_7,job_32,0,0
student_7,job_89,0,0
student_7,job_495,0,0
student_7,job_437,0,0
student_7,job_465,0,0
student_7,job_26,1,0
student_7,job_415,0,0
student_7,job_255,1,0
student_7,job_157,1,1
student_7,job_183,0,0
student_7,job_147,1,1
student_7,job_99,0,0
student_7,job_297,0,0
student_7,job_93,0,0
student_7,job_453,0,0
student_8,job_287,0,0
student_8,job_450,0,0
student_8,job_250,0,0
student_8,job_435,0,0
student_8,job_154,0,0
student_8,job_475,0,0
student_8,job_182,1,0
student_8,job_232,0,0
student_8,job_434,0,0
student_8,job_307,0,0
student_8,job_75,0,0
student_8,job_141,0,0
student_8,job_483,0,0
student_8,job_205,0,0
student_8,job_462,0,0
student_9,job_367,0,0
student_9,job_118,0,0
student_9,job_407,0,0
student_9,job_355,0,0
student_9,job_231,0,0
student_9,job_22,0,0
student_9,job_245,0,0
student_9,job_263,0,0
student_9,job_11,0,0
student_9,job_227,0,0
student_9,job_404,0,0
student_9,job_420,0,0
student_9,job_273,0,0
student_9,job_308,1,1
student_9,job_483,0,0
student_10,job_358,0,0
student_10,job_19,0,0
student_10,job_183,0,0
student_10,job_498,0,0
student_10,job_260,0,0
student_10,job_413,0,0
student_10,job_127,0,0
