Candidate ID,Job ID,is_match
C_590,J_106,0
C_212,J_142,0
C_879,J_190,0
C_156,J_39,0
C_976,J_41,0
C_527,J_3,0
C_470,J_7,0
C_503,J_43,0
C_5,J_29,0
C_513,J_192,1
C_975,J_41,0
C_33,J_115,0
C_835,J_113,0
C_449,J_73,0
C_56,J_187,0
C_745,J_135,0
C_934,J_100,0
C_404,J_132,0
C_849,J_153,0
C_479,J_115,0
C_946,J_58,1
C_994,J_146,0
C_21,J_88,0
C_60,J_183,0
C_712,J_143,0
C_13,J_18,0
C_253,J_23,0
C_347,J_47,0
C_131,J_196,0
C_652,J_17,1
C_28,J_99,0
C_127,J_127,0
C_641,J_59,0
C_789,J_106,0
C_737,J_182,0
C_950,J_197,1
C_142,J_42,0
C_274,J_108,0
C_837,J_84,0
C_520,J_95,0
C_223,J_25,1
C_556,J_147,0
C_769,J_38,0
C_698,J_36,0
C_714,J_192,0
C_955,J_139,1
C_364,J_3,0
C_233,J_62,0
C_25,J_155,0
C_182,J_31,0
C_870,J_178,0
C_560,J_147,0
C_501,J_81,0
C_885,J_134,0
C_59,J_185,0
C_81,J_187,0
C_113,J_47,0
C_899,J_105,0
C_207,J_175,0
C_167,J_73,0
C_620,J_33,0
C_385,J_16,0
C_570,J_12,0
C_905,J_166,1
C_625,J_38,1
C_552,J_159,0
C_274,J_47,0
C_378,J_62,1
C_671,J_54,0
C_332,J_21,0
C_252,J_50,0
C_492,J_63,0
C_718,J_124,0
C_677,J_113,0
C_525,J_75,1
C_607,J_79,1
C_788,J_143,0
C_440,J_134,1
C_273,J_3,1
C_523,J_96,0
C_932,J_69,0
C_553,J_51,0
C_294,J_106,0
C_201,J_70,1
C_991,J_12,0
C_51,J_168,0
C_976,J_124,0
C_902,J_184,0
C_536,J_101,0
C_883,J_200,1
C_965,J_9,0
C_703,J_117,0
C_416,J_87,0
C_31,J_115,0
C_4,J_83,0
C_848,J_14,0
C_343,J_200,1
C_477,J_122,0
C_697,J_1,1
C_628,J_195,0
C_13,J_197,0
C_389,J_6,0
C_762,J_131,0
C_896,J_149,0
C_843,J_42,0
C_15,J_25,0
C_858,J_2,0
C_553,J_111,1
C_690,J_185,0
C_323,J_163,0
C_457,J_4,0
C_19,J_89,0
C_931,J_126,0
C_244,J_138,0
C_75,J_189,0
C_939,J_1,0
C_154,J_5,0
C_662,J_125,1
C_933,J_54,0
C_886,J_18,0
C_288,J_24,1
C_602,J_110,0
C_212,J_128,0
C_306,J_85,0
C_654,J_22,0
C_260,J_97,1
C_153,J_156,0
C_902,J_25,1
C_321,J_92,1
C_405,J_6,0
C_667,J_44,0
C_877,J_23,0
C_210,J_86,0
C_809,J_135,0
C_579,J_29,0
C_91,J_86,1
C_17,J_25,1
C_301,J_37,0
C_944,J_62,0
C_693,J_6,0
C_352,J_157,1
C_632,J_135,0
C_339,J_91,0
C_968,J_110,0
C_539,J_155,0
C_314,J_49,1
C_415,J_73,0
C_826,J_18,0
C_817,J_184,0
C_798,J_163,0
C_395,J_35,0
C_919,J_101,0
C_438,J_140,0
C_650,J_169,0
C_579,J_23,0
C_292,J_166,0
C_998,J_113,0
C_831,J_47,0
C_641,J_91,0
C_792,J_63,0
C_290,J_83,1
C_47,J_7,0
C_420,J_170,0
C_805,J_84,0
C_143,J_119,1
C_175,J_187,0
C_133,J_192,0
C_714,J_165,0
C_613,J_103,0
C_703,J_175,1
C_976,J_195,0
C_812,J_55,1
C_597,J_87,0
C_979,J_149,0
C_215,J_26,0
C_808,J_164,0
C_25,J_178,1
C_93,J_94,0
C_714,J_107,0
C_85,J_138,0
C_78,J_38,0
C_38,J_106,0
C_303,J_69,0
C_47,J_155,0
C_312,J_65,1
C_134,J_142,1
C_695,J_191,0
C_139,J_185,0
C_655,J_18,1
C_681,J_25,1
C_299,J_175,0
C_85,J_47,0
C_900,J_108,0
C_466,J_138,0
C_738,J_128,0
C_343,J_84,0
C_650,J_53,0
C_586,J_60,0
C_773,J_93,0
C_426,J_19,0
C_216,J_164,0
C_888,J_14,0
C_626,J_48,0
C_461,J_192,0
C_874,J_165,0
C_537,J_46,0
C_764,J_19,0
C_148,J_38,0
C_579,J_112,0
C_338,J_116,1
C_840,J_150,0
C_114,J_200,1
C_82,J_39,0
C_957,J_137,0
C_483,J_177,0
C_985,J_111,0
C_215,J_151,0
C_761,J_175,0
C_378,J_186,0
C_91,J_139,0
C_855,J_158,0
C_79,J_193,0
C_813,J_53,0
C_215,J_58,1
C_153,J_140,1
C_758,J_148,0
C_122,J_182,0
C_215,J_47,1
C_749,J_188,0
C_235,J_7,0
C_133,J_188,1
C_470,J_26,0
C_211,J_141,1
C_863,J_154,0
C_655,J_127,0
C_235,J_14,0
C_280,J_96,0
C_424,J_114,0
C_801,J_145,0
C_148,J_123,0
C_236,J_6,0
C_656,J_31,0
C_624,J_183,0
C_841,J_38,1
C_876,J_8,0
C_893,J_12,0
C_911,J_105,0
C_820,J_8,0
C_3,J_99,0
C_829,J_52,0
C_163,J_198,1
C_340,J_142,0
