session_id,tab_switch_count,face_absent_seconds,multiple_faces_detected,audio_anomaly_score,eye_gaze_offscreen_pct,device_type,network_quality,session_duration,time_of_day,candidate_history_flag_rate,label
sess_0000,0,0.8509856888871817,0,,24.135846262332493,laptop,poor,3118.092629591793,afternoon,0.019609847269315573,false_positive
sess_0001,2,35.53687677218226,0,0.7662103411376086,13.55751274235957,mobile,excellent,2984.0155591585617,night,0.1991369058526767,true_violation
sess_0002,5,19.685678446097107,1,0.6282650312221238,23.344007240559687,desktop,good,3940.233310432862,morning,0.2841107963216169,true_violation
sess_0003,1,0.06684468245406716,0,0.25079396032229057,17.638944304540193,desktop,good,3245.713158873375,morning,0.06822284875841368,false_positive
sess_0004,1,4.706327625847293,0,,20.513197247610425,laptop,excellent,3338.87740282982,afternoon,0.19925637435162522,false_positive
sess_0005,0,0.30796756379090856,0,0.2760973586930638,6.573800786097699,mobile,good,4201.83078579671,night,0.10679201213845581,false_positive
sess_0006,3,,0,0.45505501072146665,18.576242593238945,laptop,excellent,3097.608552401165,morning,0.16805467751247355,false_positive
sess_0007,5,7.432366158606271,1,0.6859663339584324,6.939436371231402,mobile,good,2977.527959571752,evening,0.058682781913354506,true_violation
sess_0008,0,0.29626747230645656,0,0.4544891308736504,5.566169506300643,desktop,excellent,2925.659119880944,night,0.26908737912706027,false_positive
sess_0009,5,34.122555971902926,0,,33.603594623302484,desktop,good,3653.797350664956,night,0.04563128496668186,true_violation
sess_0010,1,0.26146207600097204,0,0.4821621212649211,20.212952905957565,mobile,good,3603.48633512547,morning,0.20037599964108813,false_positive
sess_0011,4,0.19031503684403436,0,0.7636998110613382,48.69449759820363,laptop,excellent,3795.4777899492997,evening,0.05622358322927466,true_violation
sess_0012,8,10.224578311272964,1,0.6676040236854364,48.18725761843022,laptop,excellent,3096.0714620935587,morning,0.12603561835431748,true_violation
sess_0013,2,2.8540243215450145,0,0.34634983846116785,22.957031416997424,laptop,poor,3971.1983624883896,evening,0.009334679975207304,false_positive
sess_0014,1,1.1346571761698079,0,0.40900168944097204,19.695591693529273,desktop,poor,2996.0634053472586,evening,0.023123403585438206,false_positive
sess_0015,0,6.038412245224036,0,0.21622669195820854,29.57955233565691,desktop,good,3290.601579694673,evening,0.01772816702347598,false_positive
sess_0016,3,0.5556691394225357,0,0.22770174202483115,9.277029472159342,laptop,excellent,2807.3961024808978,afternoon,0.24070629874777924,false_positive
sess_0017,1,1.6416600204791372,0,0.5797460464240789,18.882426477853443,laptop,poor,3182.148124246438,afternoon,0.2097946125378611,false_positive
sess_0018,3,2.968505134618206,0,0.38105346354583125,0.2830855732931177,desktop,good,3442.6957782816953,night,0.07899473512596002,false_positive
sess_0019,0,2.5122361190380724,0,0.49472088485221927,21.556103982528917,mobile,poor,4516.634171714259,night,0.26317852884785387,false_positive
sess_0020,0,1.2483916417947845,1,0.3757057029558829,27.386320480411207,laptop,good,3668.826370898381,evening,0.29863125485739295,false_positive
sess_0021,2,5.340207462980218,0,0.0689597982357401,24.7519762978243,desktop,excellent,3900.656501963907,evening,0.12912822309629704,false_positive
sess_0022,0,1.7106440696494016,0,0.36115405860907895,13.625514853723082,desktop,good,4171.724728321763,night,0.23664067917160786,false_positive
sess_0023,2,0.8004417912718718,0,0.5824597238848698,6.0400119318549805,mobile,good,3041.4712834839574,morning,0.08068768374794132,false_positive
sess_0024,1,0.008775921489689281,0,0.3624430062427315,13.04702304417906,laptop,poor,3782.797097218849,morning,0.14189140382865303,false_positive
sess_0025,7,26.87492854238829,1,0.6424540107654804,4.2346498696556765,laptop,excellent,2735.320428086038,afternoon,0.2795261158298449,true_violation
