candidate_id,job_id,college_tier,skill_score,years_exp,jd_match,portfolio_score,historical_recommended,fair_recommended
0,4,3,76.8799850235205,3.000559705792833,45.81039658141303,44.485175819363725,0,0
1,38,3,49.85920806897979,4.062746892214599,21.09603217757803,74.03490710071671,0,0
2,32,1,100.0,4.937105099272431,,60.350293072043826,1,1
3,21,1,48.3145747447129,3.4612089123280536,35.796819319989936,64.61791567625414,0,0
4,21,2,80.18107696760364,5.214580912298198,58.37251942338917,67.53824600481472,0,1
5,42,2,84.14002850541709,4.913304762527611,68.71929042934151,84.4207938381866,1,1
6,4,2,44.90324398183412,4.6615455851109315,15.87206655974866,30.25132583510812,0,0
7,34,2,58.25510277559499,3.23727276253724,38.28684973645747,33.88110426944637,0,0
8,10,3,61.551207490323804,5.950458287176859,82.43877191033411,52.92270902694219,0,1
9,4,1,100.0,6.90184525533896,79.93868281707019,77.3839473732757,1,1
10,26,2,61.319684361794835,3.9385175653300784,58.55663544538003,61.331696173108995,0,0
11,48,3,47.92723043006541,3.0091104656703713,39.112426613351374,20.93243568295982,0,0
12,36,2,72.3761703481099,3.1686804642933937,100.0,57.59622777852648,1,1
13,38,2,49.28725885984695,5.566820028453551,67.44134725445227,82.60069116427971,0,0
14,35,1,64.07683940860753,4.184697471412939,77.91585430749144,100.0,1,1
15,39,1,58.17590295323121,3.510249061077794,,68.3392753681749,1,0
16,25,2,72.77018681615496,2.5099190315964943,39.3551792495803,39.141342126064,0,0
17,6,2,56.581824503781434,4.7726272365101226,81.64912675678995,59.93972802648471,0,1
18,41,3,54.55806162819691,5.216696710521501,56.856720382732526,74.25441204237487,0,0
19,22,2,81.18563395648559,3.8427459547843936,65.33899137518758,45.034015409369346,0,1
20,25,3,69.33593901736857,4.53782395712374,57.177917804682984,44.57055020142959,0,0
21,18,3,65.42359972875205,4.984162943248295,89.77668163473659,95.8570976461593,0,1
22,9,1,36.12565337674317,5.8323346224074655,56.72423884508696,69.74191485699828,1,0
23,46,1,74.3274895578741,2.2355767351944036,71.28348827035444,78.84363799507507,1,1
24,39,3,57.94001801913093,2.561007121559798,63.70219846473172,17.41208007154144,0,0
25,32,2,69.17618116402697,3.183790547823842,31.442426476990214,35.01017903162898,0,0
26,20,2,37.33559096316745,4.046355104868479,43.763398218641484,5.257642829431482,0,0
27,41,1,69.1582718407955,3.05961577823944,66.36247969569753,52.735710311314364,1,1
28,27,2,67.89666674603602,3.4250339069400675,52.19705352643692,43.59075536191809,0,0
29,22,1,61.55690153822048,5.425989637826298,55.41502812114938,64.57168707099007,1,0
30,22,1,51.709572645310615,1.0920863161713759,90.03814956476623,64.19142645528997,1,0
31,11,2,82.49066336692844,2.4042311977897093,54.121988121607714,77.55973424970722,0,1
32,4,3,53.80191941850158,2.618707054177131,100.0,73.57063767547331,0,1
33,27,1,78.65298132255988,6.484123852446151,55.71008768504595,52.8088063079008,1,0
34,44,3,80.70736855202681,4.139666503817805,48.50797661939731,76.63184469993217,0,0
35,3,2,52.51669928666157,4.435904848762345,91.0157801334981,39.167647807825446,0,1
36,42,2,76.2208163303591,2.310581714277669,66.26629519036813,59.16010700415061,0,1
37,41,2,58.55440097311333,39.52088946577421,88.2162627635605,35.0728526257103,0,0
38,13,1,74.57788259764891,0.0,36.79356522572652,54.41337778361592,1,0
39,31,2,50.96156243814139,4.088253535360105,19.360575925398166,47.37350931216861,0,0
40,8,3,63.273542990981355,2.6283819495739156,7.839360562725517,83.31422781094076,0,0
41,37,1,66.15586807171412,0.7359017474862481,31.24654510274642,69.83791195117834,1,0
42,35,3,64.55905425613062,4.572278629720763,32.90261902874548,,0,0
43,17,1,70.71806654913335,2.0996128183317264,71.03937492456002,51.91193812150332,1,0
44,3,2,52.86818102317546,4.157233826515999,56.08058714701192,56.231983523116114,0,0
45,48,2,56.71461708499999,4.531156374691596,53.544466568476025,50.03548542129784,0,0
46,22,3,75.70762119639299,9.509696261039473,34.01139826744413,54.76313484655925,0,0
47,44,1,58.814834302990164,3.1770258201162203,77.77552585368656,66.47696412032555,1,0
48,33,1,57.54090700249782,4.341023918662914,74.10940447722825,44.356474026406545,1,0
49,38,2,52.372676815985315,3.86245749891279,27.905423641071103,50.65619350683947,0,0
50,37,1,58.09938011194906,2.4306423498012917,52.556231728248775,62.30006882327053,1,0
51,9,2,49.59415881808507,4.364087266038166,43.792844606413354,89.65252704427274,0,0
52,18,3,75.93950195971208,5.498564782683323,95.03615059314032,63.02931544595974,0,1
53,23,1,58.26404697161358,5.047103340098707,64.41753052752657,62.341364095838614,1,0
54,24,3,48.74493447689907,5.341360877323667,,64.32661051300106,0,0
55,2,1,61.95247368308217,2.369138470103371,64.21367558953112,36.71529990319395,1,0
56,27,3,44.05274150348072,4.1072573838562505,63.839260597883126,55.77828662178608,0,0
57,7,3,52.16340593767248,0.7743841586200233,65.46885251739045,35.19990855551331,0,0
