candidate_id,signup_date,propensity,seniority,city_tier,channel,device,fairness_group
C100000,2026-05-13,0.14931213732572604,entry,tier1,referral,desktop,group_A
C100001,2025-05-05,0.1969632926576165,mid,tier1,college_drive,desktop,group_A
C100002,2025-07-09,0.3157544528286404,senior,tier2,paid_ad,desktop,group_A
C100003,2025-11-03,0.4414151074615897,mid,tier2,paid_ad,ios,group_B
C100004,2025-11-07,0.12053250306634901,senior,tier3,organic,ios,group_A
C100005,2025-03-20,0.4411068586595617,lead,tier3,referral,desktop,group_B
C100006,2026-05-15,0.34450096453350376,entry,tier1,paid_ad,android,group_B
C100007,2025-06-15,0.3174436997797084,entry,tier3,referral,android,group_A
C100008,2026-03-13,0.22006756499748084,entry,tier1,organic,android,group_A
C100009,2026-05-10,0.3241332920273888,entry,tier1,organic,desktop,group_A
C100010,2025-09-17,0.13430879919236233,mid,tier2,organic,android,group_A
C100011,2025-01-15,0.2135288727196052,entry,tier2,college_drive,android,group_B
C100012,2025-05-26,0.44187143525507605,lead,tier3,paid_ad,desktop,group_B
C100013,2025-05-12,0.33781453892329183,mid,tier3,college_drive,android,group_A
C100014,2025-06-04,0.35798617193464516,lead,tier1,organic,android,group_A
C100015,2025-04-28,0.7703522521496339,mid,tier3,organic,desktop,group_B
C100016,2025-09-24,0.20219440201126251,entry,tier3,referral,android,group_B
C100017,2026-04-22,0.3704276274290865,entry,tier2,organic,ios,group_A
C100018,2025-03-30,0.11531333247711904,senior,tier2,paid_ad,android,group_B
C100019,2025-10-28,0.5389991213253186,entry,tier2,organic,android,group_B
C100020,2025-10-01,0.2545151196259893,senior,tier2,organic,android,group_B
C100021,2025-12-10,0.29139015003449237,entry,tier1,organic,ios,group_B
C100022,2026-03-23,0.05629077168213109,mid,tier1,college_drive,ios,group_B
C100023,2025-02-10,0.2542658148760954,mid,tier1,paid_ad,android,group_A
C100024,2025-05-01,0.11663183091907754,mid,tier3,paid_ad,android,group_A
C100025,2025-07-15,0.6378669892874947,senior,tier1,paid_ad,desktop,group_A
C100026,2025-11-23,0.2435550459647796,entry,tier1,paid_ad,android,group_A
C100027,2025-04-08,0.14946492541199166,lead,tier2,referral,android,group_B
C100028,2025-09-06,0.2526795057413271,mid,tier1,referral,android,group_B
C100029,2025-11-01,0.17100879418203455,mid,tier3,organic,desktop,group_B
C100030,2025-10-28,0.01765302641444635,lead,tier1,paid_ad,desktop,group_A
C100031,2026-02-27,0.2683398428121951,senior,tier2,organic,android,group_B
C100032,2026-05-11,0.1199999704763621,entry,tier3,organic,android,group_B
C100033,2025-09-01,0.27315460563418476,entry,tier3,college_drive,android,group_A
C100034,2025-03-04,0.5197954546649473,lead,tier3,paid_ad,desktop,group_A
C100035,2026-05-27,0.42469583734796085,mid,tier2,referral,desktop,group_B
C100036,2025-03-20,0.48531807078781514,mid,tier1,paid_ad,desktop,group_B
C100037,2025-04-05,0.3141285380000443,entry,tier2,organic,android,group_B
C100038,2026-01-31,0.26190529375521027,mid,tier2,college_drive,android,group_A
C100039,2025-07-21,0.08784974629492392,entry,tier1,referral,android,group_B
C100040,2026-04-01,0.35715295913447337,entry,tier2,referral,android,group_B
C100041,2025-05-13,0.5154300262618537,mid,tier3,organic,android,group_B
C100042,2025-06-14,0.29424360162069874,entry,tier1,college_drive,android,group_B
C100043,2025-12-19,0.7279274727337194,mid,tier3,referral,android,group_A
C100044,2026-05-24,0.2969071542232956,mid,tier2,organic,ios,group_B
C100045,2025-01-17,0.47829345552958374,mid,tier1,college_drive,android,group_B
C100046,2025-10-31,0.20104067747172516,entry,tier1,referral,ios,group_B
C100047,2025-03-01,0.20310383578809116,entry,tier1,referral,android,group_B
C100048,2025-06-26,0.17742168707035771,senior,tier1,organic,android,group_A
C100049,2025-05-02,0.16267262528840168,mid,tier1,organic,android,group_A
C100050,2025-05-12,0.5048910498918533,entry,tier1,organic,ios,group_B
C100051,2026-03-16,0.08612659518326854,senior,tier1,organic,android,group_B
C100052,2025-12-14,0.14244674740946664,mid,tier1,paid_ad,ios,group_A
C100053,2025-10-19,0.656460370922434,entry,tier1,college_drive,android,group_B
C100054,2025-10-02,0.4456017541758375,senior,tier3,organic,desktop,group_A
C100055,2026-06-07,0.2278442274522206,mid,tier2,paid_ad,android,group_A
C100056,2025-09-06,0.3305956731964709,mid,tier3,college_drive,desktop,group_A
C100057,2026-04-07,0.24661411086829255,senior,tier2,organic,ios,group_B
C100058,2025-05-21,0.45329496994446883,entry,tier1,college_drive,ios,group_B
C100059,2025-06-23,0.16285721054591248,mid,tier3,referral,android,group_A
C100060,2025-02-13,0.14303093642527537,entry,tier2,organic,android,group_B
C100061,2025-05-21,0.211451789382783,lead,tier2,paid_ad,desktop,group_A
