candidate_id,gender,college_tier,pincode_tier,experience_years,skill_match_score,test_score,applications_count,shortlisted
C000000,F,3,3,5.742397803449673,44.36106320272556,47.878610661449855,8,0
C000001,M,2,1,1.779350516783702,63.377082116573646,86.62592888623557,2,1
C000002,F,1,2,9.558396986762503,90.08713044768052,43.8673441502335,5,1
C000003,F,1,3,1.552804295891225,60.539664671538084,41.22224527170329,2,0
C000004,M,1,2,6.226557955248536,56.24860488540112,27.13421788433753,6,1
C000005,F,2,1,6.807204180794508,78.68123530866067,55.434257632029954,7,1
C000006,F,1,1,1.052475784002338,83.27887131818153,36.785633762194124,2,1
C000007,F,3,2,3.0107484070872657,55.472042325071996,99.56170517325666,3,0
C000008,M,3,1,3.494177098580825,56.57353187596853,35.492065116005335,4,0
C000009,M,2,2,11.661725044293954,77.98004363161743,46.158316545533204,1,1
C000010,M,3,2,3.460220373063242,69.50044362854837,99.11045932740998,2,0
C000011,F,2,2,1.4959937964095924,69.83857195358422,79.4307130000447,8,1
C000012,F,3,3,5.0818383177227835,68.55012279209284,27.099071883217647,4,0
C000013,F,1,1,1.6954646327775529,64.2405802086724,60.1923282060945,6,0
C000014,M,2,1,3.864603113262437,80.03889372691373,64.26046582221689,3,0
C000015,M,1,2,2.999132433140577,85.82829182882058,42.232742020951605,3,0
C000016,M,3,1,5.139627399702728,49.55333262324088,71.03647242028043,5,0
C000017,M,3,2,2.7653342605546096,78.30683584954696,34.341636264080705,4,0
C000018,F,2,3,2.4685157054688798,64.34132444665964,29.177118863191225,3,0
C000019,F,2,2,6.373892980284554,45.71079012676519,77.02213890736945,1,1
C000020,F,3,2,4.635937722547391,51.13535957589178,70.17544215983858,4,1
C000021,M,2,2,4.0621279602169675,58.85790732731397,93.0177662653276,2,1
C000022,F,2,2,0.0,80.87222841000786,57.93394670939499,2,0
C000023,F,2,2,5.368031801821536,49.48698015002087,87.91283456092597,2,0
C000024,F,2,3,2.9645359761392034,37.989771580994585,49.74909417878834,4,0
C000025,M,2,1,4.612506570723955,61.02791601791319,80.50581006474052,7,1
C000026,M,3,1,0.0,57.838792628824066,93.4164401140508,5,1
C000027,M,2,2,4.609879869983341,81.05950671248496,43.35680758142823,5,1
C000028,M,2,1,4.424844456085283,68.85376308319236,27.612703137259054,3,0
C000029,F,2,1,3.49501222560567,75.68696450793801,63.81390206084079,2,1
C000030,F,2,1,2.0507373213122237,59.099036346360066,63.36875956107485,4,1
C000031,F,2,2,6.565297293816172,46.73453361679792,56.979768764564525,6,0
C000032,M,3,1,2.357614848046899,84.68249706877648,77.24646875760044,3,1
C000033,M,1,3,6.002437260642116,56.15256464877215,39.6048551097238,4,1
C000034,M,2,2,6.303747387630598,74.71105033858171,57.64088897869481,1,1
C000035,M,3,2,2.16911589537703,59.47948468535733,45.918709968388775,3,1
C000036,M,2,1,5.645719728452668,74.86393096316456,89.17564307521081,4,0
C000037,M,2,3,3.054645476056622,69.53051379840726,73.77594979311878,5,0
C000038,M,2,2,5.40475611432184,66.92217565673516,47.07964149343584,3,0
C000039,F,2,3,1.9410291575940706,71.19914952057681,60.65803011116321,5,0
C000040,M,1,2,3.7467863053439325,61.383936381473795,56.734562152608525,2,0
C000041,F,2,1,4.1695273171847385,39.42717989969543,36.117709672506635,4,0
C000042,F,3,2,3.935327957565825,69.333496350437,88.45371533742289,3,0
C000043,M,1,1,4.838649760539559,82.1818326075379,52.13705033060667,2,0
C000044,F,3,2,2.2206665500657343,64.33484789024598,100.0,7,1
C000045,F,1,1,2.7848105057999986,60.296556409605735,60.52613215664176,3,0
C000046,M,2,2,5.5704511088043045,68.91672208247995,82.37299148624489,3,1
C000047,M,2,3,3.0928423644385568,79.68855459726306,60.44050333097973,4,0
C000048,F,2,3,2.9059996936996795,60.784183688277665,65.46635479883729,8,0
C000049,M,2,2,2.1479925996778455,42.581375021587846,52.440467733193785,4,0
C000050,M,2,1,2.9879090830858615,67.36919214982612,27.596639005576996,2,0
C000051,M,1,1,1.7404766266524763,70.46875122936967,90.00296558382044,9,0
C000052,F,2,3,5.6044602874244385,67.61170515600502,48.94640549977126,3,0
C000053,F,1,3,3.0120602225033255,57.580910970369125,86.32146066374729,2,0
C000054,F,3,3,1.6159237232785295,70.01678886018203,97.61667508039216,3,0
C000055,F,2,2,3.553029473518718,61.53760274632908,48.1419812267102,9,1
C000056,M,2,1,0.9277354205105048,58.44293976319108,44.75906268252185,8,0
C000057,M,3,1,2.1172995375252963,60.71366870714463,49.48425947355188,3,0
C000058,M,2,2,6.979879883862237,67.5955246059337,25.594942159895474,4,0
C000059,M,2,1,1.6061090216220082,69.21213070743897,66.19291749967228,3,0
C000060,F,1,3,3.684453529491773,57.29476389469013,83.28193952856736,7,1
C000061,M,2,3,8.854067399846308,67.98570777873628,42.93367456198135,4,0
C000062,M,2,3,4.548358545813827,70.72762462320621,68.42663025547091,6,1
C000063,F,1,1,2.8762581445950137,73.36119810721095,55.89939814272328,5,1
C000064,F,3,2,0.0,72.22805733432925,56.01487119548662,5,0
C000065,M,2,2,4.36722588653603,84.54027126396784,59.62996469984474,5,0
C000066,M,1,2,2.311054688688806,75.29278305475145,65.95017049765798,7,1
