candidate_id,job_id,true_match,clicked,applied,timestamp
C0000,J0290,0.09999999999999998,0,0,2026-05-11 09:00:00
C0000,J0028,0.3,1,1,2026-05-15 19:00:00
C0000,J0218,0.09999999999999998,0,0,2026-06-25 00:00:00
C0000,J0087,0.9773499358564849,1,0,2026-05-28 07:00:00
C0000,J0068,0.6472133955000473,1,0,2026-06-26 21:00:00
C0000,J0242,0.0,0,0,2026-06-18 03:00:00
C0000,J0005,0.577349935856485,0,0,2026-05-13 07:00:00
C0000,J0189,0.499999750000125,1,1,2026-06-01 11:00:00
C0000,J0264,1.09999950000025,1,1,2026-05-28 07:00:00
C0000,J0166,0.9071062811869011,1,1,2026-06-05 01:00:00
C0000,J0284,0.0,1,0,2026-06-05 02:00:00
C0000,J0273,0.9472133955000472,1,1,2026-05-22 17:00:00
C0000,J0074,0.0,0,0,2026-06-27 18:00:00
C0000,J0248,0.09999999999999998,0,0,2026-06-08 05:00:00
C0000,J0122,0.8773499358564849,1,0,2026-05-22 09:00:00
C0000,J0033,0.6,1,0,2026-05-28 09:00:00
C0000,J0056,0.19999999999999998,0,0,2026-06-19 20:00:00
C0000,J0187,0.5,1,1,2026-06-08 23:00:00
C0000,J0176,0.09999999999999998,0,0,2026-06-15 17:00:00
C0000,J0238,0.09999999999999998,0,0,2026-05-04 00:00:00
C0000,J0057,0.19999999999999998,0,0,2026-05-28 17:00:00
C0000,J0010,0.0,0,0,2026-06-09 17:00:00
C0000,J0094,0.0,1,0,2026-06-09 05:00:00
C0000,J0211,0.9472133955000472,1,1,2026-05-16 14:00:00
C0000,J0016,0.09999999999999998,0,0,2026-06-12 05:00:00
C0001,J0013,0.7773499358564849,1,1,2026-05-10 01:00:00
C0001,J0255,1.0944267910000947,1,1,2026-05-12 04:00:00
C0001,J0120,0.999999750000125,1,1,2026-05-23 18:00:00
C0001,J0041,0.19999999999999998,0,0,2026-05-17 17:00:00
C0001,J0185,1.3944267910000947,1,1,2026-05-30 10:00:00
C0001,J0180,0.5,1,0,2026-06-09 09:00:00
C0001,J0280,1.0472133955000473,1,0,2026-05-06 01:00:00
C0001,J0246,0.9773499358564849,1,0,2026-05-05 00:00:00
C0001,J0172,0.3,1,1,2026-05-29 07:00:00
C0001,J0155,0.9773499358564849,1,1,2026-06-13 17:00:00
C0001,J0187,0.677349935856485,0,0,2026-06-10 04:00:00
C0001,J0206,0.8773499358564849,1,1,2026-06-11 14:00:00
C0001,J0018,1.35469987171297,1,0,2026-05-27 22:00:00
C0001,J0188,0.6472133955000473,1,0,2026-05-15 18:00:00
C0001,J0087,0.7773499358564849,1,1,2026-05-06 08:00:00
C0001,J0244,1.1944267910000947,1,1,2026-06-19 12:00:00
C0001,J0151,0.19999999999999998,1,1,2026-05-07 07:00:00
C0001,J0081,0.19999999999999998,0,0,2026-06-17 13:00:00
C0001,J0157,0.9944267910000947,1,1,2026-06-02 01:00:00
C0001,J0264,1.19999950000025,1,1,2026-05-10 22:00:00
C0001,J0069,0.8773499358564849,1,1,2026-06-11 22:00:00
C0001,J0006,0.6999997500001249,1,1,2026-05-21 14:00:00
C0001,J0152,1.3071062811869012,1,1,2026-06-06 05:00:00
C0001,J0099,0.19999999999999998,1,0,2026-05-03 03:00:00
C0001,J0074,0.3,1,0,2026-05-06 10:00:00
