candidate_id,job_id,candidate_exp,candidate_skills,demographic_group,required_exp,required_skills,job_popularity,relevance
C0,J104,6,1,0,2,9,0.4823657585812783,1
C0,J169,6,1,0,7,6,0.3815001902893187,0
C0,J187,6,1,0,6,3,0.7366573000296349,1
C0,J207,6,1,0,7,3,0.9475227879922274,0
C0,J27,6,1,0,5,1,0.8525059328865239,2
C0,J293,6,1,0,6,3,0.2894562456988087,1
C0,J31,6,1,0,2,4,0.40026555625317906,1
C0,J323,6,1,0,4,4,0.3824879470502235,0
C0,J337,6,1,0,5,2,0.4661243208565512,1
C0,J369,6,1,0,8,3,0.6011064198353692,0
C0,J387,6,1,0,7,5,0.18439887363131485,0
C0,J395,6,1,0,6,4,0.5212621488108611,0
C0,J396,6,1,0,9,2,0.519669471645837,0
C0,J398,6,1,0,9,2,0.23904298360443324,0
C0,J401,6,1,0,6,9,0.6372196214919905,1
C0,J410,6,1,0,6,3,0.5595226817136039,0
C0,J456,6,1,0,1,7,0.8632983115140671,1
C0,J470,6,1,0,5,5,0.17104546265190002,0
C0,J61,6,1,0,4,7,0.4326167794840958,0
C0,J70,6,1,0,5,8,0.10478212810151136,1
C0,J92,6,1,0,7,5,0.6887194633250863,0
C1,J105,3,3,0,8,8,0.9170546624951806,0
C1,J11,3,3,0,2,9,0.4526734358692234,0
C1,J137,3,3,0,0,2,0.13030876348701761,2
C1,J149,3,3,0,7,1,0.8428740977115533,1
C1,J262,3,3,0,9,2,0.15615466173844952,1
C1,J274,3,3,0,0,9,0.5221964899428209,1
C1,J28,3,3,0,4,7,0.8392495266106248,0
C1,J284,3,3,0,0,6,0.818463877488268,1
C1,J329,3,3,0,9,1,0.2756498654967854,0
C1,J355,3,3,0,3,7,0.26674331984499133,0
C1,J387,3,3,0,7,5,0.18439887363131485,0
C1,J438,3,3,0,5,7,0.6092033993568967,0
C1,J493,3,3,0,5,1,0.9139237974944715,1
C1,J7,3,3,0,9,5,0.4034859180091769,0
C1,J79,3,3,0,9,3,0.8227018647620534,1
C1,J95,3,3,0,2,7,0.6691521918955486,1
C1,J97,3,3,0,0,5,0.5265290981044924,0
C10,J102,2,6,1,3,6,0.3173505651935501,0
C10,J150,2,6,1,4,1,0.8603842129797061,0
C10,J178,2,6,1,7,1,0.657573580032673,0
C10,J256,2,6,1,7,7,0.12702340479645355,0
C10,J262,2,6,1,9,2,0.15615466173844952,0
C10,J271,2,6,1,4,5,0.16393140013960192,0
C10,J277,2,6,1,8,7,0.25074198018469696,0
C10,J331,2,6,1,4,9,0.767477306652438,0
C10,J367,2,6,1,6,2,0.4306516558273634,0
C10,J489,2,6,1,0,8,0.6957222693733104,0
C10,J6,2,6,1,4,6,0.20548351511221008,0
C100,J141,1,3,0,2,9,0.1350813885950174,0
C100,J145,1,3,0,4,9,0.8993063700406322,0
C100,J168,1,3,0,1,9,0.6095626221025637,1
C100,J169,1,3,0,7,6,0.3815001902893187,0
C100,J179,1,3,0,1,1,0.6070558156413761,2
C100,J246,1,3,0,2,6,0.89462333486685,0
C100,J276,1,3,0,8,1,0.190880296135985,0
C100,J28,1,3,0,4,7,0.8392495266106248,0
C100,J338,1,3,0,0,3,0.39540979511050545,2
C100,J356,1,3,0,6,4,0.35077875680353277,0
C100,J363,1,3,0,8,3,0.6141344229433876,1
C100,J40,1,3,0,3,4,0.823183893516343,0
C100,J442,1,3,0,1,1,0.11723993699612761,2
C100,J457,1,3,0,5,1,0.952445316610223,1
C100,J46,1,3,0,3,1,0.587584867840807,0
C100,J474,1,3,0,5,2,0.8511146112300649,1
C100,J494,1,3,0,5,3,0.8356670625754984,1
C100,J79,1,3,0,9,3,0.8227018647620534,0
C100,J98,1,3,0,2,9,0.744757400762289,0
C101,J111,9,7,0,0,3,0.8396478519268233,2
C101,J122,9,7,0,5,5,0.725176863004355,2
C101,J153,9,7,0,3,4,0.16053032257063107,1
C101,J168,9,7,0,1,9,0.6095626221025637,0
C101,J188,9,7,0,4,8,0.45030742452260963,0
C101,J206,9,7,0,3,3,0.4358103565801452,2
C101,J321,9,7,0,0,1,0.7993443570865805,1
C101,J36,9,7,0,0,1,0.8943038890951125,2
C101,J372,9,7,0,9,3,0.2576108261173179,2
C101,J462,9,7,0,9,9,0.9670242884014342,0
C101,J471,9,7,0,5,2,0.4985183228893637,1
C102,J131,13,2,0,8,5,0.17954645228606686,0
C102,J16,13,2,0,8,3,0.11631163694115676,0
C102,J164,13,2,0,2,9,0.21707260284605226,1
C102,J187,13,2,0,6,3,0.7366573000296349,0
C102,J202,13,2,0,6,1,0.14801319729000795,2
C102,J241,13,2,0,5,8,0.12856938883568977,0
C102,J271,13,2,0,4,5,0.16393140013960192,0
C102,J279,13,2,0,3,2,0.9757691181210685,2
C102,J281,13,2,0,2,3,0.9709853187426057,1
C102,J3,13,2,0,5,2,0.5792536597743836,2
C102,J301,13,2,0,5,6,0.3721775601506828,0
C102,J33,13,2,0,1,5,0.5061647017263294,0
C102,J34,13,2,0,2,2,0.2650979767630911,2
C102,J350,13,2,0,3,4,0.5973960409990734,0
C102,J354,13,2,0,0,5,0.6137896751555286,1
C102,J355,13,2,0,3,7,0.26674331984499133,1
C102,J370,13,2,0,0,4,0.8606087663464312,1
C102,J379,13,2,0,3,1,0.1005880516851696,1
C102,J402,13,2,0,4,4,0.9996019329253947,1
C102,J406,13,2,0,5,8,0.2536375269812322,0
C102,J418,13,2,0,7,5,0.49436075192351003,1
C102,J422,13,2,0,0,7,0.5041348911371133,0
C102,J443,13,2,0,9,7,0.8441727048754778,1
C102,J62,13,2,0,0,8,0.5178146677653025,0
C103,J117,3,6,0,6,4,0.9451616315052624,1
C103,J12,3,6,0,6,6,0.9061072998569007,1
C103,J155,3,6,0,1,9,0.9990033508299615,0
C103,J161,3,6,0,5,1,0.3173468367311811,0
C103,J163,3,6,0,7,7,0.4700723661951274,0
C103,J169,3,6,0,7,6,0.3815001902893187,0
C103,J188,3,6,0,4,8,0.45030742452260963,0
C103,J192,3,6,0,8,4,0.9362255680139164,1
C103,J275,3,6,0,3,1,0.34170595070827836,2
C103,J307,3,6,0,6,2,0.22967090741187962,0
C103,J314,3,6,0,1,3,0.8401430900668189,2
C103,J322,3,6,0,3,1,0.8759826762923699,2
C103,J350,3,6,0,3,4,0.5973960409990734,2
C103,J38,3,6,0,4,1,0.16812975457880874,0
C103,J384,3,6,0,6,1,0.23684371068204263,0
C103,J399,3,6,0,7,2,0.5385388186900457,0
