student_id,job_id,skill_overlap,experience_match,education_match,location_match,successful_match,baseline_score,baseline_pred
S00623,J00076,0.3333333333333333,1,0,0,1,0.43333333333333335,0
S00984,J00184,0.0,1,0,0,0,0.2,0
S00124,J00173,0.5,0,1,0,1,0.44999999999999996,0
S00885,J00158,0.0,1,0,0,0,0.2,0
S00094,J00198,0.2,0,1,0,0,0.24,0
S00685,J00171,0.2857142857142857,0,1,0,0,0.3,0
S00744,J00045,0.0,1,0,0,1,0.2,0
S00613,J00110,0.0,0,1,0,0,0.1,0
S00626,J00088,0.25,0,1,0,0,0.275,0
S00769,J00109,0.0,1,1,0,0,0.30000000000000004,0
S00741,J00026,0.0,0,0,0,0,0.0,0
S00746,J00081,0.0,0,0,0,0,0.0,0
S00693,J00043,0.5,1,1,1,1,0.65,1
S00865,J00027,0.14285714285714285,0,1,0,0,0.2,0
S00870,J00171,0.0,0,1,0,0,0.1,0
S00451,J00005,0.0,1,1,0,1,0.30000000000000004,0
S00438,J00081,0.3333333333333333,0,0,0,1,0.2333333333333333,0
S00478,J00070,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00705,J00143,0.0,0,1,0,0,0.1,0
S00362,J00198,0.0,0,1,0,0,0.1,0
S00338,J00080,0.4,1,0,0,1,0.48,0
S00586,J00191,0.6666666666666666,1,1,0,1,0.7666666666666666,1
S00261,J00096,0.3333333333333333,0,0,0,0,0.2333333333333333,0
S00490,J00131,0.0,0,1,0,0,0.1,0
S00833,J00107,0.2857142857142857,0,0,0,0,0.19999999999999998,0
S00596,J00127,0.0,0,1,1,0,0.1,0
S00325,J00183,0.3333333333333333,1,1,1,1,0.5333333333333333,1
S00569,J00181,0.0,0,1,0,0,0.1,0
S00925,J00046,0.0,0,0,0,0,0.0,0
S00369,J00116,0.0,0,1,1,0,0.1,0
S00727,J00136,0.25,1,1,0,1,0.475,0
S00724,J00022,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00931,J00185,0.16666666666666666,1,1,0,0,0.41666666666666663,0
S00810,J00189,0.42857142857142855,1,1,0,1,0.6,1
S00749,J00078,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00571,J00074,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00123,J00181,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00038,J00083,0.0,0,0,0,0,0.0,0
S00213,J00052,0.3333333333333333,0,0,0,0,0.2333333333333333,0
S00199,J00158,0.0,1,0,1,1,0.2,0
S00484,J00098,0.0,1,1,0,1,0.30000000000000004,0
S00278,J00182,0.4,1,1,0,0,0.58,1
S00798,J00167,0.4,1,1,1,1,0.58,1
S00515,J00190,0.3333333333333333,1,1,0,1,0.5333333333333333,1
S00887,J00188,0.14285714285714285,0,1,0,1,0.2,0
S00699,J00127,0.25,1,1,0,1,0.475,0
S00286,J00097,0.16666666666666666,1,1,0,0,0.41666666666666663,0
S00151,J00028,0.0,1,1,0,0,0.30000000000000004,0
S00047,J00152,0.3333333333333333,1,0,0,1,0.43333333333333335,0
S00566,J00146,0.5,1,1,0,0,0.65,1
S00349,J00030,0.25,1,1,0,1,0.475,0
S00316,J00134,0.0,1,0,0,0,0.2,0
S00950,J00122,0.0,1,1,0,0,0.30000000000000004,0
S00762,J00169,0.25,0,1,0,0,0.275,0
S00445,J00079,0.16666666666666666,0,1,0,1,0.21666666666666667,0
S00189,J00056,0.25,0,0,1,0,0.175,0
S00703,J00198,0.2,0,1,0,0,0.24,0
S00977,J00023,0.16666666666666666,1,1,0,1,0.41666666666666663,0
S00913,J00100,0.14285714285714285,0,1,0,0,0.2,0
S00662,J00146,0.25,1,1,0,0,0.475,0
S00293,J00143,0.14285714285714285,0,1,0,0,0.2,0
S00249,J00062,0.3333333333333333,1,1,0,1,0.5333333333333333,1
S00932,J00126,0.42857142857142855,1,1,0,1,0.6,1
S00036,J00048,0.3333333333333333,0,1,0,1,0.3333333333333333,0
S00809,J00193,0.5,0,1,1,1,0.44999999999999996,0
S00222,J00076,0.3333333333333333,0,0,0,0,0.2333333333333333,0
S00849,J00051,0.16666666666666666,0,0,1,1,0.11666666666666665,0
S00630,J00147,0.2,0,1,0,0,0.24,0
S00210,J00105,0.0,0,0,0,0,0.0,0
S00793,J00120,0.4,1,1,0,1,0.58,1
S00641,J00005,0.5,1,1,0,1,0.65,1
S00853,J00107,0.2857142857142857,0,1,0,0,0.3,0
S00495,J00038,0.0,1,1,0,1,0.30000000000000004,0
S00394,J00016,0.0,0,0,0,0,0.0,0
S00325,J00080,0.6,1,0,0,1,0.62,1
S00114,J00171,0.0,0,1,0,0,0.1,0
S00322,J00128,0.14285714285714285,0,1,0,0,0.2,0
S00238,J00064,0.16666666666666666,0,1,0,0,0.21666666666666667,0
S00987,J00131,0.6666666666666666,1,1,0,1,0.7666666666666666,1
S00228,J00123,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00880,J00016,0.2,0,1,0,0,0.24,0
S00248,J00014,0.6666666666666666,0,1,0,0,0.5666666666666667,1
S00373,J00067,0.6666666666666666,0,1,0,0,0.5666666666666667,1
S00794,J00149,0.3333333333333333,1,1,0,0,0.5333333333333333,1
S00935,J00051,0.3333333333333333,0,1,1,1,0.3333333333333333,0
S00071,J00198,0.4,0,1,0,1,0.38,0
S00156,J00090,0.2857142857142857,0,0,0,0,0.19999999999999998,0
S00952,J00197,0.3333333333333333,0,1,1,0,0.3333333333333333,0
S00792,J00064,0.16666666666666666,0,1,0,0,0.21666666666666667,0
S00886,J00077,0.0,1,1,0,0,0.30000000000000004,0
S00260,J00093,0.16666666666666666,1,1,1,0,0.41666666666666663,0
S00676,J00101,0.14285714285714285,1,0,0,1,0.3,0
S00429,J00046,0.4,0,1,0,1,0.38,0
S00262,J00137,0.4,0,0,0,0,0.27999999999999997,0
S00733,J00100,0.14285714285714285,0,0,0,0,0.09999999999999999,0
S00321,J00180,0.0,1,1,0,0,0.30000000000000004,0
S00573,J00175,0.16666666666666666,0,0,0,0,0.11666666666666665,0
S00162,J00116,0.25,0,1,0,1,0.275,0
S00331,J00145,0.2,0,1,1,1,0.24,0
S00190,J00189,0.2857142857142857,1,1,0,0,0.5,1
S00293,J00116,0.25,0,1,0,0,0.275,0
S00712,J00182,0.0,1,0,0,0,0.2,0
S00199,J00098,0.0,1,0,0,0,0.2,0
S00952,J00089,0.75,0,1,0,0,0.6249999999999999,1
S00669,J00189,0.14285714285714285,1,0,0,0,0.3,0
S00848,J00080,0.0,1,0,0,1,0.2,0
S00514,J00090,0.14285714285714285,0,0,0,1,0.09999999999999999,0
S00185,J00009,0.75,1,1,0,1,0.8249999999999998,1
S00808,J00112,0.3333333333333333,1,1,0,1,0.5333333333333333,1
S00704,J00112,0.0,1,1,0,1,0.30000000000000004,0
S00917,J00190,0.16666666666666666,1,0,0,0,0.31666666666666665,0
S00365,J00086,0.16666666666666666,1,1,0,1,0.41666666666666663,0
S00020,J00068,0.0,0,1,0,1,0.1,0
S00967,J00016,0.2,0,1,0,1,0.24,0
S00146,J00178,0.0,0,1,0,0,0.1,0
S00591,J00187,0.3333333333333333,0,1,0,1,0.3333333333333333,0
S00831,J00079,0.16666666666666666,1,1,0,1,0.41666666666666663,0
S00995,J00005,0.75,1,1,1,1,0.8249999999999998,1
S00205,J00179,0.0,0,1,0,0,0.1,0
S00335,J00138,0.2,0,0,0,0,0.13999999999999999,0
S00892,J00092,0.0,0,0,1,0,0.0,0
S00895,J00125,0.3333333333333333,0,1,1,0,0.3333333333333333,0
S00946,J00137,0.6,0,1,0,0,0.52,1
S00645,J00060,0.16666666666666666,1,1,0,1,0.41666666666666663,0
S00104,J00095,0.25,1,0,0,1,0.375,0
S00938,J00065,0.0,1,0,0,0,0.2,0
S00798,J00029,0.6666666666666666,1,1,0,1,0.7666666666666666,1
S00101,J00181,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00627,J00001,0.25,1,0,0,1,0.375,0
S00950,J00126,0.2857142857142857,1,1,0,0,0.5,1
S00356,J00006,0.5714285714285714,1,0,0,0,0.6,1
S00849,J00075,0.3333333333333333,0,0,0,0,0.2333333333333333,0
S00216,J00147,0.2,0,1,0,0,0.24,0
S00001,J00028,0.14285714285714285,1,0,0,1,0.3,0
S00204,J00111,0.2,0,0,1,0,0.13999999999999999,0
S00220,J00164,0.0,1,0,1,1,0.2,0
S00506,J00128,0.5714285714285714,0,1,0,0,0.5,1
S00325,J00188,0.14285714285714285,1,1,0,0,0.4,0
S00846,J00042,0.3333333333333333,1,1,0,0,0.5333333333333333,1
S00626,J00046,0.2,0,1,0,0,0.24,0
S00627,J00133,0.14285714285714285,1,1,0,1,0.4,0
S00893,J00060,0.16666666666666666,1,1,0,0,0.41666666666666663,0
S00723,J00103,0.3333333333333333,0,1,0,0,0.3333333333333333,0
S00463,J00102,0.14285714285714285,1,0,0,1,0.3,0
S00059,J00062,0.0,0,1,0,0,0.1,0
