event_id,ts,day_idx,candidate_id,job_id,region,gender,skill_match_score,embedding_similarity,experience_years,location_match,recruiter_response_rate,past_ctr,clicked,applied,shortlisted
d0_0,2026-01-01,0,45041,5748,West,M,0.5944394214066462,0.6746547786501962,3.5081835441772053,1,0.3510000204607997,0.0987768645109051,1,1,0
d0_1,2026-01-01,0,52054,2216,South,M,0.730746218054341,0.348673725044364,0.7546920596506008,1,0.23222684082413794,0.17394395195148693,1,0,0
d0_2,2026-01-01,0,37160,5282,East,F,0.30847911100870073,0.4889584376841162,3.3073203768324735,1,0.21476497569735023,0.17992599182583469,0,0,0
d0_3,2026-01-01,0,65284,2052,West,F,0.6495903265359144,0.46226887976004993,0.862291903853533,1,0.47838938599374725,0.11148057883219444,1,0,0
d0_4,2026-01-01,0,61025,8084,North,M,0.5497164890966941,0.5430119094490992,4.45362185976308,1,0.3667959891897144,0.013265316626157195,1,1,1
d0_5,2026-01-01,0,50254,1929,East,F,0.9526085023320882,0.5918296426970858,0.5803751713267615,0,0.32846933204126005,0.1508640790246129,1,1,0
d0_6,2026-01-01,0,35667,1832,West,M,0.5886489079151076,0.3988160575564683,3.551291424344978,1,0.4010206752067785,0.14776801142542878,1,1,0
d0_7,2026-01-01,0,45877,6739,West,M,0.9202197700015136,0.6586424016184342,1.4258101436695823,1,0.4953918703498753,0.13546957850784724,1,0,0
d0_8,2026-01-01,0,54804,2984,North,F,0.4213266743992387,0.559450355250205,0.283471044376021,0,0.4216436731631678,0.16907398746540578,0,0,0
d0_9,2026-01-01,0,52468,4162,South,M,0.7257066500245026,0.2662080620032135,4.140233430768511,0,0.3212734076030839,0.06175859517694799,1,0,0
d0_10,2026-01-01,0,37835,3828,South,M,0.6774920474824212,0.2562112839404454,0.3808224636269888,1,0.547155154677874,0.22043776930925696,1,0,0
d0_11,2026-01-01,0,62379,2949,East,M,0.46357149538433917,0.5481521060606034,12.819068835964828,0,0.5895022603577958,0.07202861234290658,0,0,0
d0_12,2026-01-01,0,30389,7855,West,F,0.6519313006346493,0.5168549023320469,1.9765788158333366,1,0.4593467986387424,0.15746114636004271,1,0,0
d0_13,2026-01-01,0,55087,7226,East,F,0.8382533906296881,0.534486982963805,1.0653607671838372,1,0.5168396213612908,0.03563261527933241,1,1,0
d0_14,2026-01-01,0,20939,3148,South,F,0.5617174932284119,0.5458026315204674,0.598327950914773,1,0.5490351996176573,0.07348676563649745,1,0,0
d0_15,2026-01-01,0,52492,7180,North,F,0.3154467231494426,0.5838339759265272,2.1884168548318343,0,0.5356119179685417,0.1958184323362668,0,0,0
d0_16,2026-01-01,0,80557,7420,West,M,0.6168386912340598,0.692147441477245,4.173341614587405,1,0.47369190125351485,0.1069550088499575,1,0,0
d0_17,2026-01-01,0,83604,5851,North,F,0.45756384293734775,0.3833342648623663,5.328590686345398,1,0.47180164564898597,0.1619961302566399,1,0,0
d0_18,2026-01-01,0,72521,6204,East,M,0.5583786310405012,0.3742042610648808,2.6371219120687988,1,0.46235926880158035,0.1318477694359623,1,0,0
d0_19,2026-01-01,0,77107,9413,West,M,0.6053142014566782,0.38600142131689263,10.162977610970414,0,0.2683194790543548,0.11475209219999136,0,0,0
d0_20,2026-01-01,0,15935,5084,West,F,0.31298260111720694,0.5933375000753061,4.654811238082033,1,0.4840867788231503,0.18819251624663447,1,0,0
d0_21,2026-01-01,0,40723,4468,South,F,0.32918149892227794,0.7367421067969668,0.5353121587538023,1,0.23730232346481356,0.10816705876740498,1,0,0
